23.03.2025                                                                                                Salida dinámica de lista                                                                                                                                                     1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	    Ancho	    Largo

	1200161	Mat	PPCDTD1RGSESD 1 5/8x4xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 5/8	4	RL	         41,300	      101,600		 44,000	  110,000
	1200162	Mat	PPCDTD1RGSESD 1 5/8x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 5/8	6	RL	         41,300	      152,400		 44,000	  162,000
	1200163	Mat	PPCDTD1RGSESD 1 5/8x8xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 5/8	8	RL	         41,300	      203,200		 44,000	  212,000
	1200164	Mat	PPCDTD1RGSESD 7/8x8xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	7/8	8	RL	         22,300	      203,200		 23,000	  212,000
	1200165	Mat	PPCDTD1RGSESD 7/8x3xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	7/8	3	RL	         22,300	       76,200		 25,800	   80,000
	1200166	Mat	PPLRPNCS4SESD 5/4x3 7/8xRL	PM_ASERRADERO	1	P	P	L	RP	NC	S4	SE	SD	5/4	3 7/8	RL	         31,750	       98,400		 34,000	   98,400
	1200182	Mat	PPCMCSDRGVESD 69x157xRL	PM_ASERRADERO	1	P	P	C	MC	SD	RG	VE	SD	69	157	RL	         69,000	      157,000		 69,000	  157,000
	1200183	Mat	PPCMCSDRGVESD 53x151xRL	PM_ASERRADERO	1	P	P	C	MC	SD	RG	VE	SD	53	151	RL	         53,000	      151,000		 53,000	  151,000
	1200184	Mat	PPCSDSTRGVESD 25x151xRL	PM_ASERRADERO	1	P	P	C	SD	ST	RG	VE	SD	25	151	RL	         25,000	      151,000		 25,000	  151,000
	1200185	Mat	PPCSDSTRGSESD 25x151xRL	PM_ASERRADERO	1	P	P	C	SD	ST	RG	SE	SD	25	151	RL	         25,000	      151,000		 25,000	  151,000
	1200186	Mat	PPCDTD1RGVESD 1xRWxRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	1	RW	RL	         25,400			 25,400
	1200187	Mat	PPCDTD1RGSESD 3x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	3	6	RL	         78,000	      155,000		 78,000	  155,000
