Objeto;Denomin.;Familia;Espesor;Ancho;kerf;PrecodPP;Escuadria;Status
1207726;PPCMASPRGSESD 50x70xRL;MA;50.0;70.0;;MA5070;MA 50x70;True
1207751;PPLMASTRGVESD 20x77xRL;MA;20.0;77.0;;MA2077;MA 20x77;True
1207752;PPLMASTRGSESD 20x77xRL;MA;20.0;77.0;;MA2077;MA 20x77;True
1207753;PPLMASTRGVESD 20x98xRL;MA;20.0;98.0;;MA2098;MA 20x98;True
1207754;PPLMASTRGSESD 20x98xRL;MA;20.0;98.0;;MA2098;MA 20x98;True
1207755;PPLMASTRGVESD 20x104xRL;MA;20.0;104.0;;MA20104;MA 20x104;True
1207756;PPLMASTRGSESD 20x104xRL;MA;20.0;104.0;;MA20104;MA 20x104;True
1207757;PPLMASTRGVESD 20x129xRL;MA;20.0;129.0;;MA20129;MA 20x129;True
1207758;PPLMASTRGSESD 20x129xRL;MA;20.0;129.0;;MA20129;MA 20x129;True
1207759;PPLMASTRGVESD 20x150xRL;MA;20.0;150.0;;MA20150;MA 20x150;True
1207760;PPLMASTRGSESD 20x150xRL;MA;20.0;150.0;;MA20150;MA 20x150;True
1207761;PPLMASTRGVESD 20x157xRL;MA;20.0;157.0;;MA20157;MA 20x157;True
1207762;PPLMASTRGSESD 20x157xRL;MA;20.0;157.0;;MA20157;MA 20x157;True
1207763;PPLMASTRGVESD 20x202xRL;MA;20.0;202.0;;MA20202;MA 20x202;True
1207764;PPLMASTRGSESD 20x202xRL;MA;20.0;202.0;;MA20202;MA 20x202;True
1207774;PPLMASTRGVESD 23x202xRL;MA;23.0;202.0;;MA23202;MA 23x202;True
1207775;PPLMASTRGSESD 23x202xRL;MA;23.0;202.0;;MA23202;MA 23x202;True
1207791;PPCMASPRGVESD 75x98xRL;MA;75.0;98.0;;MA7598;MA 75x98;True
1207792;PPCMASPRGSESD 75x98xRL;MA;75.0;98.0;;MA7598;MA 75x98;True
1207794;PPCMASPRGVESD 34x148xRL;MA;34.0;148.0;;MA34148;MA 34x148;True
1207795;PPCMASPRGSESD 34x148xRL;MA;34.0;148.0;;MA34148;MA 34x148;True
1207871;PPLMASPRGVESD 26x148xRL;MA;26.0;148.0;;MA26148;MA 26x148;True
1207872;PPLMASPRGSESD 26x148xRL;MA;26.0;148.0;;MA26148;MA 26x148;True
1207883;PPLMASPRGVESD 26x70xRL;MA;26.0;70.0;;MA2670;MA 26x70;True
1207884;PPLMASPRGSESD 26x70xRL;MA;26.0;70.0;;MA2670;MA 26x70;True
1207891;PPLMAPRRGVESD 50x129xRL;MA;50.0;129.0;;MA50129;MA 50x129;True
1207892;PPLMAPRRGSESD 50x129xRL;MA;50.0;129.0;;MA50129;MA 50x129;True
1207992;PPLMAPRRGVESD 50x148xRL;MA;50.0;148.0;;MA50148;MA 50x148;True
1207993;PPLMAPRRGSESD 50x148xRL;MA;50.0;148.0;;MA50148;MA 50x148;True
